harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
1690000,Balikpapan Utara,60.0,250,SHM,Unfurnished,3,1,1300,1
1200000,Balikpapan Utara,120.0,180,SHM,Unfurnished,3,2,4400,1
900000,Balikpapan Utara,120.0,120,SHM,Unfurnished,2,2,2200,1
470000,Balikpapan Utara,45.0,120,HGB,Unfurnished,2,1,1300,1
515000,Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1
1300000,Balikpapan Utara,350.0,230,SHM,Unfurnished,3,2,10000,2
700000,Balikpapan Utara,130.0,150,SHM,Unfurnished,2,2,2200,1
1700000,Balikpapan Utara,150.0,180,SHM,Unfurnished,4,3,2200,1
1900000,Balikpapan Utara,250.0,276,SHM,Unfurnished,4,4,3500,1
1800000,Balikpapan Utara,200.0,194,SHM,Unfurnished,3,3,2200,2
1500000,Balikpapan Utara,240.0,200,SHM,Unfurnished,6,4,1300,2
1300000,Balikpapan Utara,100.0,150,SHM,Furnished,2,2,4400,1
1250000,Balikpapan Utara,121.0,395,SHM,Unfurnished,3,2,2200,1
430000,Balikpapan Utara,42.0,105,SHM,Unfurnished,2,1,1300,1
725000,Balikpapan Utara,57.0,120,SHM,Unfurnished,2,1,2200,1
2300000,Balikpapan Utara,88.0,140,SHM,Unfurnished,3,3,2200,1
600000,Balikpapan Utara,44.0,104,SHM,Unfurnished,2,1,1300,1
5650000,Balikpapan Utara,191.0,220,SHM,Unfurnished,3,4,3500,1
2200000,Balikpapan Utara,200.0,126,SHM,Unfurnished,4,3,2200,2
530000,Balikpapan Utara,90.0,100,SHM,Unfurnished,2,2,1300,1
925000,Balikpapan Utara,72.0,80,SHM,Unfurnished,3,2,2200,1
950000,Balikpapan Utara,90.0,174,HGB,Unfurnished,3,2,1300,1
726000,Balikpapan Utara,90.0,157,SHM,Unfurnished,2,2,4400,1
2600000,Balikpapan Utara,250.0,250,SHM,Unfurnished,4,2,2200,1
850000,Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1
450000,Balikpapan Utara,48.0,108,SHM,Unfurnished,2,1,2200,1
1000000,Balikpapan Utara,150.0,180,SHM,Unfurnished,3,1,1300,1
395000,Balikpapan Utara,55.0,60,SHM,Furnished,2,1,1300,1
1500000,Balikpapan Utara,240.0,200,SHM,Unfurnished,6,4,2200,2
1800000,Balikpapan Utara,160.0,186,SHM,Unfurnished,4,4,2200,1
1000000,Balikpapan Utara,135.0,135,SHM,Unfurnished,2,2,3500,1
400000,Balikpapan Utara,39.0,96,HGB,Unfurnished,2,1,1300,1
231000,Balikpapan Utara,36.0,90,HGB,Unfurnished,2,1,1300,1
740000,Balikpapan Utara,100.0,120,SHM,Unfurnished,3,1,1300,1
650000,Balikpapan Utara,120.0,120,SHM,Unfurnished,2,2,1300,1
3500000,Balikpapan Utara,201.0,401,SHM,Unfurnished,5,4,2200,1
1500000,Balikpapan Utara,200.0,200,SHM,Furnished,4,2,3500,1
4700000,Balikpapan Utara,250.0,538,SHM,Unfurnished,5,4,3500,1
1300000,Balikpapan Utara,90.0,150,SHM,Unfurnished,3,2,2200,1
4200000,Balikpapan Utara,350.0,770,SHM,Unfurnished,5,6,3500,1
4500000,Balikpapan Utara,550.0,550,SHM,Unfurnished,7,4,3500,1
4200000,Balikpapan Utara,300.0,540,SHM,Unfurnished,5,4,3500,1
3500000,Balikpapan Utara,490.0,319,SHM,Unfurnished,4,5,2200,2
1010000,Balikpapan Utara,72.0,120,HGB,Unfurnished,4,2,2200,1
1750000,Balikpapan Utara,84.0,144,SHM,Unfurnished,3,1,1300,1
920000,Balikpapan Utara,60.0,150,SHM,Unfurnished,2,1,1300,1
4000000,Balikpapan Utara,287.0,319,SHM,Unfurnished,5,5,2200,1
1700000,Balikpapan Utara,200.0,285,SHM,Unfurnished,3,2,2200,1
950000,Balikpapan Utara,180.0,201,SHM,Unfurnished,4,2,2200,1
2100000,Balikpapan Utara,70.0,140,SHM,Unfurnished,3,3,2200,1
