harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik
650000,  Balikpapan Utara,106.0,140,SHM,Unfurnished,3,2,2200
800000,  Balikpapan Selatan,77.0,200,SHM,Unfurnished,2,2,1300
4250000,  Batu Ampar,350.0,770,SHM,Unfurnished,5,6,4400
400000,  Balikpapan Selatan,36.0,72,HGB,Unfurnished,2,1,1300
880000,  Balikpapan Selatan,54.0,106,SHM,Furnished,2,2,2200
5000000,  Balikpapan Tengah,280.0,460,SHM,Unfurnished,5,3,3500
885000,  Balikpapan Timur,138.0,90,SHM,Furnished,3,3,2200
1400000,  Balikpapan Utara,104.0,150,SHM,Unfurnished,6,3,2200
1000000,  Balikpapan Selatan,67.0,160,SHM,Unfurnished,2,1,2200
1550000,  Balikpapan Selatan,70.0,140,SHM,Unfurnished,3,2,2200
827000,  Balikpapan Selatan,63.0,120,SHM,Unfurnished,2,1,2200
1650000,  Balikpapan Utara,70.0,144,SHM,Semi-furnished,2,1,2200
1150000,  Balikpapan Selatan,130.0,150,SHM,Semi-furnished,3,2,2200
4000000,  Balikpapan Selatan,210.0,200,SHM,Semi-furnished,6,6,4400
4800000,  Balikpapan Utara,400.0,450,SHM,Furnished,3,3,2200
2930000,  Balikpapan Tengah,200.0,220,HGB,Unfurnished,4,2,2200
2089999,  Balikpapan Selatan,268.0,183,SHM,Semi-furnished,4,2,3500
1000000,  Balikpapan Selatan,127.0,107,HGB,Semi-furnished,4,2,1300
698000,  Balikpapan Tengah,40.0,78,SHM,Unfurnished,2,1,1300
1800000,  Balikpapan Tengah,114.0,90,SHM,Unfurnished,7,3,2200
1800000,  Balikpapan Utara,72.0,800,SHM,Unfurnished,3,1,1300
700000,  Batu Ampar,96.0,100,HGB,Unfurnished,2,1,1300
1800000,  Balikpapan Selatan,100.0,208,SHM,Furnished,3,3,5500
2500000,  Balikpapan Selatan,116.0,240,HGB,Unfurnished,3,2,1300
725000,  Balikpapan Selatan,120.0,120,SHM,Unfurnished,3,1,3500
1250000,  Balikpapan Selatan,120.0,97,SHM,Furnished,3,2,4400
950000,  Balikpapan Selatan,170.0,155,SHM,Unfurnished,3,2,2200
1060000,  Balikpapan Tengah,65.0,90,SHM,Unfurnished,3,3,2200
780000,  Balikpapan Tengah,45.0,84,SHM,Unfurnished,3,1,1300
4550000,  Balikpapan Utara,310.0,475,SHM,Furnished,4,3,2200
1870000,  Balikpapan Selatan,110.0,180,SHM,Unfurnished,4,3,2200
2650000,  Balikpapan Selatan,180.0,221,SHM,Semi-furnished,4,2,2200
1810000,  Balikpapan Utara,61.0,108,SHM,Unfurnished,2,2,2200
7700000,  Balikpapan Selatan,341.0,558,SHM,Semi-furnished,5,0,5500
2000000,  Balikpapan Tengah,120.0,268,SHM,Unfurnished,3,3,1300
950000,  Balikpapan Selatan,70.0,120,SHM,Semi-furnished,3,1,2200
1840000,  Balikpapan Utara,90.0,250,SHM,Semi-furnished,3,1,3500
2500000,  Balikpapan Selatan,150.0,145,SHM,Unfurnished,3,3,2200
1900000,  Balikpapan Utara,200.0,180,SHM,Unfurnished,5,4,2200
500000,  Balikpapan Selatan,40.0,78,SHM,Semi-furnished,2,1,1300
2000000,  Balikpapan Utara,70.0,294,SHM,Semi-furnished,3,1,2200
1300000,  Balikpapan Selatan,92.0,150,SHM,Unfurnished,2,1,1300
500000,  Balikpapan Selatan,36.0,84,HGB,Unfurnished,2,1,1300
650000,  Balikpapan Selatan,100.0,100,SHM,Unfurnished,2,1,1300
450000,  Balikpapan Selatan,100.0,100,HGB,Unfurnished,1,1,900
3950000,  Balikpapan Selatan,200.0,180,HGB,Furnished,3,3,2200
560000,  Balikpapan Timur,62.0,120,HGB,Unfurnished,2,1,1300
6500000,  Balikpapan Selatan,300.0,1407,HGB,Unfurnished,4,4,10000
4700000,  Balikpapan Utara,310.0,475,SHM,Unfurnished,4,3,7700
2700000,  Gunung Bahagia,200.0,300,SHM,Unfurnished,3,2,900
1010000,  Balikpapan Utara,72.0,120,HGB,Semi-furnished,4,2,2200
1100000,  Balikpapan Selatan,95.0,70,SHM,Semi-furnished,3,2,2200
2050000,  Balikpapan Utara,200.0,200,SHM,Unfurnished,4,3,2200
3600000,  Damai,250.0,240,SHM,Unfurnished,4,3,3500
3000000,  Balikpapan Selatan,200.0,200,SHM,Unfurnished,3,2,5500
2500000,  Balikpapan Selatan,90.0,180,SHM,Unfurnished,2,2,2200
