harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
920000,Samarinda Ulu,38.0,98.0,HGB,Non-furnished,2,1,2200,1
800000,Samarinda Utara,120.0,277.0,SHM,Non-furnished,4,2,1300,1
800000,Samarinda Ulu,105.0,120.0,SHM,Non-furnished,3,2,900,1
704350,Loa Janan Ilir,38.0,108.0,HGB,Non-furnished,2,1,1300,1
4700000,Samarinda Seberang,329.0,885.0,SHM,Semi-furnished,7,6,1300,1
3850000,Sungai Pinang,270.0,180.0,SHM,Fully-furnished,4,4,4400,2
270000,Samarinda Utara,48.0,150.0,SHM,Non-furnished,2,1,1300,1
1800000,Samarinda Ulu,100.0,150.0,SHM,Fully-furnished,3,2,2200,1
280000,Samarinda Utara,48.0,150.0,SHM,Non-furnished,2,1,900,1
950000,Samarinda Utara,120.0,120.0,SHM,Semi-furnished,4,2,2200,1
388000,Samarinda Seberang,145.0,160.0,SHM,Non-furnished,3,2,1300,1
777000,Samarinda Utara,150.0,150.0,SHM,Non-furnished,6,2,2200,1
1500000,Samarinda Utara,150.0,120.0,SHM,Non-furnished,3,1,4400,2
950000,Samarinda Ulu,152.0,152.0,SHM,Non-furnished,2,1,1300,1
2710000,Sungai Pinang,180.0,186.0,HGB,Non-furnished,4,3,2200,1
3240000,Sungai Pinang,197.0,225.0,HGB,Non-furnished,4,3,2200,1
2080000,Sungai Pinang,93.0,140.0,HGB,Non-furnished,3,2,2200,1
1400000,Samarinda Ulu,75.0,150.0,SHM,Non-furnished,3,2,2200,1
390000,Sungai Kunjang,45.0,88.0,SHM,Non-furnished,2,1,1300,1
450000,Sungai Kunjang,84.0,97.5,SHM,Non-furnished,2,1,2200,1
850000,Samarinda Kunjang,200.0,200.0,SHM,Non-furnished,5,2,900,1
800000,Sungai Pinang,60.0,90.0,SHM,Non-furnished,3,2,2200,1
1605000,Samarinda Ulu,170.0,200.0,SHM,Non-furnished,3,2,2200,1
750000,Samarinda Utara,220.0,227.0,SHM,Non-furnished,4,2,1300,1
560120,Samarinda Seberang,39.0,72.0,HGB,Non-furnished,2,1,2200,1
3100000,Samarinda Seberang,225.0,276.0,SHM,Fully-furnished,4,5,5500,1
3500000,Samarinda Kota,400.0,367.0,SHM,Non-furnished,6,6,3500,2
1500000,Samarinda Kota,100.0,174.0,SHM,Non-furnished,3,2,2200,1
5000000,Samarinda Ulu,270.0,225.0,SHM,Fully-furnished,5,3,5500,2
1400000,Samarinda Ulu,187.5,150.0,SHM,Non-furnished,2,1,5500,2
620000,Sambutan,110.0,110.0,SHM,Non-furnished,2,1,900,1
2500000,Samarinda Utara,200.0,250.0,HGB,Semi-furnished,4,3,3500,1
1645000,Sungai Pinang,59.0,105.0,HGB,Semi-furnished,3,1,2200,1
395000,Sungai Kunjang,45.0,88.0,SHM,Non-furnished,2,1,1300,1
2000000,Samarinda Utara,200.0,162.0,SHM,Semi-furnished,4,3,2200,2
900000,Samarinda Ulu,150.0,241.0,SHM,Non-furnished,3,3,2200,1
600000,Sambutan,80.0,104.0,SHM,Non-furnished,2,1,1300,1
850000,Samarinda Ulu,170.0,170.0,SHM,Non-furnished,5,3,2200,1
5300000,Sungai Pinang,216.0,480.0,SHM,Non-furnished,3,4,2200,1
2980000,Sungai Pinang,186.0,180.0,SHM,Non-furnished,3,2,2200,2
2200000,Samarinda Ulu,172.0,150.0,SHM,Non-furnished,5,3,5500,2
1620000,Sungai Pinang,84.0,105.0,SHM,Non-furnished,3,2,2200,1
1450000,Samarinda Utara,140.0,125.0,SHM,Non-furnished,5,2,2200,2
1150000,Samarinda Ilir,70.0,105.0,SHM,Non-furnished,3,2,2200,1
1850000,Samarinda Ilir,80.0,193.0,SHM,Non-furnished,1,1,1300,1
3600000,Samarinda Utara,205.5,326.0,SHM,Non-furnished,4,3,5500,1
2500000,Samarinda Utara,200.0,250.0,SHM,Semi-furnished,4,3,3500,1
2100000,Samarinda Kunjang,200.0,205.0,SHM,Non-furnished,6,4,4400,1
800000,Loa Janan Ilir,91.0,181.0,SHM,Non-furnished,3,2,2200,1
2145000,Sungai Pinang,89.0,227.0,SHM,Non-furnished,3,2,1300,1
3300000,Sungai Pinang,190.0,287.0,SHM,Non-furnished,3,3,2200,1
3300000,Sungai Pinang,190.0,297.0,SHM,Non-furnished,3,3,2200,1
500000,Samarinda Seberang,36.0,72.0,SHM,Non-furnished,1,1,1300,1
1800000,Samarinda Utara,250.0,275.0,SHM,Non-furnished,4,2,2200,1
60000000,Samarinda Ulu,2500.0,8900.0,SHM,Semi-furnished,8,5,5500,1
2100000,Sungai Pinang,93.0,140.0,SHM,Non-furnished,3,2,2200,1
2080000,Sungai Pinang,93.0,140.0,HGB,Non-furnished,3,2,2200,1
870000,Sungai Kunjang,170.0,200.0,SHM,Non-furnished,4,2,2200,1
1200000,Sungai Kunjang,200.0,200.0,SHM,Non-furnished,3,1,1300,1
850000,Samarinda Kota,74.0,120.0,SHM,Non-furnished,4,1,1300,1
700000,Samarinda Kunjang,90.0,102.0,SHM,Fully-furnished,3,2,1300,1
1000000,Sungai Pinang,135.0,161.0,SHM,Non-furnished,3,2,2200,1
1900000,Samarinda Ulu,128.0,198.0,SHM,Non-furnished,3,2,2200,1
788000,Samarinda Ulu,54.0,100.0,SHM,Non-furnished,2,1,1300,1
3900000,Sungai Kunjang,156.0,280.0,SHM,Non-furnished,4,2,3500,1
2080000,Sungai Pinang,93.0,140.0,SHM,Non-furnished,3,2,2200,1
2080000,Sungai Pinang,197.0,225.0,SHM,Non-furnished,3,3,2200,1
650000,Samarinda Kunjang,67.0,110.0,SHM,Non-furnished,3,2,1300,1
1600000,Samarinda Kota,185.0,150.0,SHM,Non-furnished,5,3,3500,2
755000,Samarinda Utara,45.0,120.0,SHM,Non-furnished,2,1,1300,1
500000,Sungai Kunjang,120.0,137.5,SHM,Non-furnished,3,3,1300,1
350000,Loa Janan Ilir,36.0,278.0,SHM,Non-furnished,2,1,900,1
675000,Sungai Pinang,80.0,109.0,SHM,Non-furnished,3,2,1300,1
1650000,Sungai Pinang,76.0,128.0,SHM,Non-furnished,1,2,2200,1
6000000,Samarinda Ulu,269.0,246.0,SHM,Semi-furnished,4,4,4400,2
600000,Samarinda Utara,99.0,120.0,SHM,Semi-furnished,3,3,3500,1
