Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
1800000000," Samarinda, Samarinda Ilir",Rumah,Secondary,156.0,191.0,SHM,Non-furnished
2080000000," Samarinda, Samarinda Utara",Rumah,Primary,93.0,140.0,HGB,Non-furnished
3560000000," Samarinda, Samarinda Utara",Rumah,Primary,197.0,225.0,HGB,Non-furnished
2300000000," Samarinda, Samarinda Ulu",Rumah,Secondary,250.0,181.0,SHM,
600000000," Samarinda, Samarinda Seberang",Rumah,Secondary,90.0,105.0,SHM,
1550000000," Samarinda, Samarinda Ulu",Rumah,Secondary,120.0,144.0,SHM,
28000000000," Samarinda, Sungai Pinang",Rumah,Secondary,216.0,2324.0,SHM,Non-furnished
700000000," Samarinda, Sungai Pinang",Rumah,,108.0,108.0,SHM,
1600000000," Samarinda, Samarinda Utara",Rumah,Secondary,90.0,226.0,SHM,Non-furnished
750000000," Samarinda, Samarinda Kota",Rumah,Secondary,112.0,72.0,SHM,
4500000000," Samarinda, Loa Janan Ilir",Rumah,,329.0,885.0,SHM,
1500000000," Samarinda, Samarinda Utara",Rumah,,241.0,250.0,SHM,
3000000000," Samarinda, Samarinda Ulu",Rumah,Secondary,320.0,190.0,SHM,
6000000000," Samarinda, Samarinda Ulu",Rumah,,1400.0,625.0,SHM,
3500000000," Samarinda, Sungai Pinang",Rumah,,369.0,203.0,SHM,
7000000000," Samarinda, Loa Janan Ilir",Rumah,,800.0,1075.0,SHM,
2500000000," Samarinda, Samarinda Ulu",Rumah,Secondary,285.0,300.0,SHM,
3700000000," Samarinda, Sungai Pinang",Rumah,Secondary,190.0,196.0,SHM,Fully-furnished
1450000000," Samarinda, Samarinda Utara",Rumah,Secondary,200.0,210.0,SHM,
1700000000," Samarinda, Sungai Pinang",Rumah,,128.0,128.0,SHM,
5000000000," Samarinda, Sungai Pinang",Rumah,,200.0,289.0,SHM,
2500000000," Samarinda, Samarinda Ulu",Rumah,,240.0,240.0,SHM,
2500000000," Samarinda, Samarinda Ulu",Rumah,,0.0,240.0,SHM,
1000000000," Samarinda, Samarinda Utara",Rumah,,160.0,200.0,SHM,
600000000," Samarinda, Sungai Kunjang",Rumah,,49.0,120.0,HGB,
3800000000," Samarinda, Samarinda Ulu",Rumah,,320.0,280.0,SHM,
850000000," Samarinda, Samarinda Ulu",Rumah,,104.0,170.0,Lain-lain,
1800000000," Samarinda, Sungai Pinang",Rumah,Secondary,300.0,200.0,SHM,
1620000000," Samarinda, Samarinda Ulu",Rumah,Primary,84.0,105.0,HGB,Non-furnished
2080000000," Samarinda, Samarinda Utara",Rumah,Primary,93.0,140.0,HGB,Non-furnished
