judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kondisi Perabotan
RUMAH HUNIAN BEBAS BANJIR DENGAN HALAMAN LUAS DI PERUMAHAN SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16718263/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16718263/original/hos16718263-rumah-di-jual-di-samarinda-utara-samarinda-1710900707.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Besar di pusat kota Jalan Belibis / AM. Sangaji,https://www.rumah123.com//properti/samarinda/hos16655034/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16655034/original/hos16655034-rumah-di-jual-di-samarinda-kota-samarinda-1710318612.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Mewah Bagus dan Cantik,https://www.rumah123.com//properti/samarinda/hos16654810/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16654810/original/hos16654810-rumah-di-jual-di-samarinda-ilir-samarinda-1710317732.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CANTIK MINIMALIS DI PERUM TALANG SARI SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16592901/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16592901/original/hos16592901-rumah-di-jual-di-samarinda-utara-samarinda-1709704541.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rumah Pinggir Jalan besar. Posisi Hook sangat strategis. Bisa untuk usaha an voucer, sembako dll.",https://www.rumah123.com//properti/samarinda/hos16513863/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16513863/original/hos16513863-rumah-di-jual-di-samarinda-ilir-samarinda-1709082213.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU PERUM ALAYA DAMAR SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16441793/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16441793/original/hos16441793-rumah-di-jual-di-samarinda-utara-samarinda-1708475296.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CLUSTER BANYAN TYPE DENAYA ALAYA,https://www.rumah123.com//properti/samarinda/hos16441788/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-04-24-07-29-09-e0e156ab-ca82-468b-a46d-99d1d06a0f5b-1713918549.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CLUSTER BANYAN TYPE DARPA 2 LANTAI ALAYA,https://www.rumah123.com//properti/samarinda/hos16441787/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16441787/original/hos16441787-rumah-di-jual-di-samarinda-utara-samarinda-1708475120.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CLUSTER BANYAN TYPE BREN ALAYA,https://www.rumah123.com//properti/samarinda/hos16441785/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-04-24-07-29-06-d9628e78-3033-45f7-aa16-aa5d092f28d5-1713918546.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU CLUSTER CANARY TYPE KIRANA ALAYA,https://www.rumah123.com//properti/samarinda/hos16441783/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16441783/original/hos16441783-rumah-di-jual-di-samarinda-utara-samarinda-1708475027.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU CLUSTER CANARY TYPE KIRANA ALAYA,https://www.rumah123.com//properti/samarinda/hos16441776/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16441776/original/hos16441776-rumah-di-jual-di-samarinda-utara-samarinda-1708474927.jpg,RUMAH BARU CLUSTER CANARY TYPE KIRANA ALAYA,"Rp 2,08 Miliar","Samarinda Utara, Samarinda",3,2,140 m²,93 m²,N/A,Rumah,HGB - Hak Guna Bangunan,2200 Watt,N/A
RUMAH 4 KAMAR TIDUR SIAP HUNI SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16441771/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16441771/original/hos16441771-rumah-di-jual-di-sungai-kunjang-samarinda-1708474852.jpg,RUMAH 4 KAMAR TIDUR SIAP HUNI SAMARINDA,"Rp 1,55 Miliar","Sungai Kunjang, Samarinda",4,3,260 m²,115 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,N/A
"HOTEL 10 Lantai Bagus SHM - Sertifikat Hak Milik Unfurnished di KADRIE OENING, Samarinda Kota",https://www.rumah123.com//properti/samarinda/hos16368500/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1918737/2024-02-14-13-44-21-b3402e53-25f5-4da3-869c-1e4848da5386.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah lokasi strategis dekat rumah sakit Dirgahayu. cocok untuk usaha apa saja.,https://www.rumah123.com//properti/samarinda/hos16305573/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16305573/original/hos16305573-rumah-di-jual-di-samarinda-kota-samarinda-1707265791.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
- RUMAH BARU SIAP HUNI SAMARINDA SUNGAI KUNJANG 6262,https://www.rumah123.com//properti/samarinda/hos16238212/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-01-31-16-33-40-fb83ab97-78e8-444e-9a18-c7325df60892.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU SIAP HUNI SUNGAI KUNJANG SAMARINDA 6262,https://www.rumah123.com//properti/samarinda/hos16238165/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-01-31-16-16-20-89d3182b-f699-4b0a-8dd2-385f1f8420d4.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU SIAP HUNI SISA 1 UNIT SAMARINDA ULU 6262,https://www.rumah123.com//properti/samarinda/hos16238075/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-01-31-16-02-31-e73e84ca-3fc9-49db-9482-1c4aea5a35b2.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU AW SYAHRANIE HARGA MERAKYAT SAMARINDA ULU 6262,https://www.rumah123.com//properti/samarinda/hos16238009/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-01-31-15-35-59-9999a5e5-c6ff-466c-80fc-aa17e72382ba.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Di  Rumah Di Jl. Kadrie oening perum kehutanan.,https://www.rumah123.com//properti/samarinda/hos15884045/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1945074/2024-07-14-16-13-01-ae7c11cb-3ec3-4d7c-a8b2-a60e77633041-1720948381.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH SAMARINDA,https://www.rumah123.com//properti/samarinda/hos15767154/,https://pic.rumah123.com/r123/720x420-crop/house/ho15/15767154/original/hos15767154-rumah-di-jual-di-samarinda-ulu-samarinda-1702426143.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Cantik Asri Dekat Kampus Unmul di Samarinda,https://www.rumah123.com//properti/samarinda/hos15695275/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924506/2023-12-06-08-23-38-044b2632-6e17-4a2c-b406-b40220626b33.png,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Minimalis Daerah Elite Citragrand Senyiur Samarinda,https://www.rumah123.com//properti/samarinda/hos15694796/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924506/2023-12-06-07-53-58-f681be7f-734a-492d-a6be-01f629778904.png,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah 1 lantai setengah  cepat di Citraland city Samarinda,https://www.rumah123.com//properti/samarinda/hos15615438/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1914476/2024-06-06-09-22-40-d7f6ac5c-596b-4da5-9970-cae1f63c43db-1717640560.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rumah asri  diperumahan Grand Taman Sari,https://www.rumah123.com//properti/samarinda/hos14498910/,https://pic.rumah123.com/r123/720x420-crop/house/ho14/14498910/original/hos14498910-rumah-di-jual-di-samarinda-seberang-samarinda-1692149700.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MINIMALIS DUA LANTAI DENGAN 3 KAMAR TIDUR SAMARINDA,https://www.rumah123.com//properti/samarinda/hos14103421/,https://pic.rumah123.com/r123/720x420-crop/house/ho14/14103421/original/hos14103421-rumah-di-jual-di-samarinda-utara-samarinda-1687911012.jpg,RUMAH MINIMALIS DUA LANTAI DENGAN 3 KAMAR TIDUR SAMARINDA,"Rp 1,4 Miliar","Samarinda Utara, Samarinda",3,3,75 m²,190 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
RUMAH MANIS FURNISHED PERUMAHAN DI SAMARINDA,https://www.rumah123.com//properti/samarinda/hos13724880/,https://pic.rumah123.com/r123/720x420-crop/house/ho13/13724880/original/hos13724880-rumah-di-jual-di-sungai-kunjang-samarinda-1684296338.jpg,RUMAH MANIS FURNISHED PERUMAHAN DI SAMARINDA,Rp 780 Juta,"Sungai Kunjang, Samarinda",3,2,200 m²,200 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
RUMAH SEMI FINISHING TAMANSARI GRAND SAMARINDA,https://www.rumah123.com//properti/samarinda/hos13582361/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-07-21-49-0a65e38c-3af2-4519-b4dd-b22dd0f70405.jpg,RUMAH SEMI FINISHING TAMANSARI GRAND SAMARINDA,Rp 600 Juta,"Loa Janan Ilir, Samarinda",1,2,136 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,N/A
