harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 5,35 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",450 m2,269 m2,SHM,Non-furnished,4,2,N/A,2200 Watt
"Rp 3,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",369 m2,208 m2,SHM,-,4,2,N/A,1300 Watt
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",400 m2,400 m2,SHM,-,6,2,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sambutan",108 m2,200 m2,SHM,-,3,2,N/A,3500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Loa Janan Ilir",150 m2,391 m2,HGB,-,3,2,N/A,2200 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",250 m2,163 m2,SHM,Fully-furnished,3+-1,3+2,N/A,4400 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",162 m2,407 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 8,25 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",350 m2,366 m2,SHM,-,5,4,N/A,2200 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,270 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,48 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",100 m2,140 m2,HGB,-,2,1,N/A,900 Watt
"Rp 1,89 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",100 m2,140 m2,HGB,-,3,2,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",120 m2,147 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",128 m2,128 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",250 m2,250 m2,SHM,Fully-furnished,4,4,N/A,2200 Watt
Rp 650 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",144 m2,144 m2,SHM,-,4,1,N/A,2200 Watt
"Rp 4,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",400 m2,300 m2,SHM,-,5,3,N/A,4400 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",14 m2,11 m2,SHM,-,4,4,N/A,2200 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",78 m2,186 m2,SHM,-,3,3,N/A,2200 Watt
Rp 15 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",950 m2,950 m2,SHM,Non-furnished,56,56,N/A,3500 Watt
"Rp 4,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",400 m2,300 m2,SHM,Fully-furnished,5,3,N/A,4400 Watt
"Rp 2,25 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",144 m2,144 m2,SHM,-,4,3,N/A,2200 Watt
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",1400 m2,625 m2,SHM,-,1400,12,N/A,3500 Watt
"Rp 1,99 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",96 m2,126 m2,HGB,-,3,2,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",250 m2,241 m2,SHM,-,8,2,N/A,2200 Watt
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",400 m2,367 m2,SHM,-,6,6,N/A,3500 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,225 m2,SHM,-,4,1,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",600 m2,300 m2,SHM,Non-furnished,6,4,N/A,5500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,196 m2,HGB,Fully-furnished,5,3,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 4,25 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",300 m2,450 m2,SHM,-,11,10,N/A,2200 Watt
"Rp 2,44 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",144 m2,128 m2,HGB,Non-furnished,5,4,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",36 m2,90 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 3,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",400 m2,300 m2,SHM,-,6,4,N/A,3500 Watt
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",240 m2,150 m2,SHM,-,4,2,N/A,2200 Watt
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",80 m2,231 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",72 m2,120 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",93 m2,140 m2,HGB,Fully-furnished,3,2,N/A,2200 Watt
