Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,280 m2,320 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,260 m2,230 m2,SHM,Semi-furnished
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,550 m2,700 m2,SHM,Fully-furnished
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,260 m2,150 m2,SHM,Non-furnished
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,145 m2,150 m2,SHM,Non-furnished
"Rp 6,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,500 m2,673 m2,SHM,Non-furnished
"Rp 3,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,214 m2,SHM,Fully-furnished
"Rp 1,28 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,150 m2,180 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,105 m2,153 m2,HGB,Non-furnished
"Rp 3,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,371 m2,480 m2,SHM,-
"Rp 1,31 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,196 m2,98 m2,SHM,-
"Rp 5,52 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,311 m2,248 m2,SHM,Non-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,102 m2,278 m2,SHM,Non-furnished
Rp 6 Miliar Rp 400 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,500 m2,550 m2,SHM,Fully-furnished
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,200 m2,318 m2,SHM,Semi-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",Rumah,Secondary,448 m2,800 m2,SHM,Semi-furnished
Rp 470 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,70 m2,60 m2,SHM,Non-furnished
"Rp 1,42 Miliar Rp 55 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,105 m2,153 m2,PPJB,Non-furnished
"Rp 1,6 Miliar Rp 150 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,243 m2,250 m2,SHM,-
"Rp 1,85 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",Rumah,Secondary,145 m2,168 m2,SHM,Fully-furnished
Rp 400 Juta,"Kalimantan Timur, Balikpapan, Muara Rapak",Rumah,Secondary,80 m2,100 m2,SHM,Non-furnished
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,200 m2,126 m2,SHM,Non-furnished
"Rp 2,6 Miliar Rp 160 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,289 m2,200 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,224 m2,500 m2,SHM,Non-furnished
"Rp 2,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,384 m2,240 m2,SHM,Non-furnished
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,105 m2,165 m2,SHM,Non-furnished
"Rp 1,24 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,145 m2,120 m2,SHM,Fully-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,200 m2,299 m2,SHM,Non-furnished
"
Rp 15 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,450 m2,1700 m2,SHM,Non-furnished
"
Rp 609,48 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Primary,45 m2,120 m2,HGB,Non-furnished
Rp 550 Juta Rp 50 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,100 m2,125 m2,SHM,-
Rp 780 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,105 m2,150 m2,SHM,Semi-furnished
"Rp 3,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,240 m2,260 m2,SHM,-
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,150 m2,200 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,250 m2,150 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,120 m2,120 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Primary,100 m2,150 m2,SHM,-
Rp 380 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Primary,102 m2,102 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",Rumah,Secondary,316 m2,241 m2,SHM,-
