harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 2,9 Miliar Rp 80 Juta","Kalimantan Timur, Balikpapan, Balikpapan Baru",200 m2,220 m2,HGB,Non-furnished,4,2,N/A,2200 Watt
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",250 m2,165 m2,SHM,-,4,3,N/A,7600 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",280 m2,320 m2,SHM,-,6,3,N/A,4400 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",260 m2,230 m2,SHM,Semi-furnished,5,3,N/A,3500 Watt
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",550 m2,700 m2,SHM,Fully-furnished,3,2,N/A,5500 Watt
Rp 600 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",60 m2,90 m2,SHM,Non-furnished,3,1,N/A,900 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",260 m2,150 m2,SHM,Non-furnished,4,2,N/A,2200 Watt
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",145 m2,150 m2,SHM,Non-furnished,3,1,N/A,2200 Watt
"Rp 6,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",500 m2,673 m2,SHM,Non-furnished,6,5,N/A,16500 Watt
"Rp 3,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,214 m2,SHM,Fully-furnished,4,3,N/A,2200 Watt
"Rp 1,28 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",150 m2,180 m2,SHM,-,4,2,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,153 m2,HGB,Non-furnished,4,4,N/A,2200 Watt
"Rp 3,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",371 m2,480 m2,SHM,-,5,3,N/A,7700 Watt
"Rp 1,31 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",196 m2,98 m2,SHM,-,5,3,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",102 m2,278 m2,SHM,Non-furnished,7,4,N/A,2200 Watt
Rp 6 Miliar Rp 400 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",500 m2,550 m2,SHM,Fully-furnished,6+1,7,N/A,7600 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",448 m2,800 m2,SHM,Semi-furnished,2+1,3,N/A,3500 Watt
Rp 470 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",70 m2,60 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,42 Miliar Rp 55 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,153 m2,PPJB,Non-furnished,4,4,N/A,2200 Watt
"Rp 1,6 Miliar Rp 150 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",243 m2,250 m2,SHM,-,4+2,1+1,N/A,2200 Watt
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",60 m2,72 m2,SHM,-,1,1,N/A,2200 Watt
"Rp 1,85 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",145 m2,168 m2,SHM,Fully-furnished,2,2,N/A,2200 Watt
Rp 400 Juta,"Kalimantan Timur, Balikpapan, Muara Rapak",80 m2,100 m2,SHM,Non-furnished,3,1,N/A,2200 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,126 m2,SHM,Non-furnished,4,3,N/A,3500 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",224 m2,500 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 2,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",384 m2,240 m2,SHM,Non-furnished,6,5,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",105 m2,165 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,24 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",145 m2,120 m2,SHM,Fully-furnished,4,2,N/A,3500 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",200 m2,299 m2,SHM,Non-furnished,5,2,N/A,3500 Watt
Rp 15 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",450 m2,1700 m2,SHM,Non-furnished,3,3+2,N/A,11000 Watt
"Rp 609,48 Juta","Kalimantan Timur, Balikpapan, Balikpapan Timur",45 m2,120 m2,HGB,Non-furnished,2,1,N/A,2200 Watt
Rp 550 Juta Rp 50 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,125 m2,SHM,-,2,2,N/A,2200 Watt
Rp 780 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,150 m2,SHM,Semi-furnished,3,3,N/A,2200 Watt
